species_id,nutrient_group,nutrient_core,nutrient_noncore,metal_core,metal_noncore,odds_ratio,fisher_p
s__Paraburkholderia_kirstenboschensis--RS_GCF_904848585.1,N_genes,2,0,1,2,inf,0.4000000000000001
s__Bradyrhizobium_sp015291665--RS_GCF_015291665.1,N_genes,1,2,2,0,0.0,0.4000000000000001
s__Azospirillum_tabaci--RS_GCF_014596085.1,N_genes,2,0,4,0,,1.0
s__Methanothrix_A_harundinacea_A--GB_GCA_002502785.1,N_genes,3,0,5,0,,1.0
s__Cognatazoarcus_halotolerans--RS_GCF_009800965.1,N_genes,2,0,1,3,inf,0.4000000000000001
s__Acidiferrobacter_thiooxydans--RS_GCF_003333315.1,N_genes,0,2,1,2,0.0,1.0
s__RXIV01_sp003989085--GB_GCA_003989085.1,N_genes,0,2,4,0,0.0,0.06666666666666667
s__Acetobacterium_paludosum--RS_GCF_008086595.1,N_genes,6,0,2,0,,1.0
s__Acidulodesulfobacterium_sp023489335--GB_GCA_023489335.1,N_genes,2,0,3,0,,1.0
s__Electrothrix_sp022766165--GB_GCA_022766165.1,N_genes,2,0,1,1,inf,1.0
s__JAJZQI01_sp021851875--GB_GCA_021851875.1,N_genes,1,1,2,1,0.5,1.0
s__Magnetospirillum_gryphiswaldense--RS_GCF_000513295.1,N_genes,2,0,2,0,,1.0
s__JADFXK01_sp015233285--GB_GCA_015233285.1,N_genes,0,2,0,2,,1.0
s__Paraburkholderia_mimosarum--RS_GCF_000739815.1,N_genes,2,0,3,0,,1.0
s__SLDE01_sp007125455--GB_GCA_007125455.1,N_genes,0,2,3,2,0.0,0.4285714285714286
s__GWF2-39-127_sp003242895--GB_GCA_003242895.1,N_genes,2,0,3,1,inf,1.0
s__Kosakonia_sacchari_B--GB_GCA_900109485.1,N_genes,2,2,2,0,0.0,0.4666666666666667
s__Sodalinema_willei_A--GB_GCA_001637315.1,N_genes,2,0,1,4,inf,0.14285714285714288
s__JAGRBY01_sp020634855--GB_GCA_020634855.1,N_genes,0,3,2,4,0.0,0.5000000000000001
s__Rhodomicrobium_udaipurense--RS_GCF_000636015.1,N_genes,3,4,1,3,2.25,1.0
s__Rhodoferax_sp003133245--GB_GCA_003133245.1,N_genes,1,1,0,2,inf,1.0
s__Kosakonia_pseudosacchari--RS_GCF_900184035.1,N_genes,2,0,2,0,,1.0
s__WM-3-3_sp002928495--GB_GCA_002928495.1,N_genes,0,2,1,3,0.0,1.0
s__Azospirillum_sp003119115--RS_GCF_003119115.1,N_genes,2,0,4,0,,1.0
s__Acidulodesulfobacterium_A_sp021813525--GB_GCA_021813525.1,N_genes,2,0,0,3,inf,0.10000000000000002
s__Bradyrhizobium_nitroreducens--RS_GCF_002776695.1,N_genes,2,0,4,0,,1.0
s__Kosakonia_sp000410515--GB_GCA_000410515.1,N_genes,2,0,2,0,,1.0
s__Microvirga_sp018069605--RS_GCF_013307435.2,N_genes,0,2,4,3,0.0,0.44444444444444453
s__Methylocystis_sp003134075--GB_GCA_003134075.1,N_genes,0,2,2,3,0.0,1.0
s__Desulfamplus_sp015232555--GB_GCA_015232555.1,N_genes,0,4,2,1,0.0,0.14285714285714288
s__Acidithiobacillus_B_sulfuriphilus--RS_GCF_003721225.1,N_genes,2,0,1,1,inf,1.0
s__Rhodoplanes_elegans--RS_GCF_016653355.1,N_genes,3,0,2,0,,1.0
s__FEN-1139_sp003154095--GB_GCA_003154095.1,N_genes,0,4,2,1,0.0,0.14285714285714288
